date;category;type;description;_category;_subcategory;amount;transaction_id;mcc_code
2025-11-11;CASH;CARD_TRANSACTION;ALIM CARREFOUR MARKE;ALIMENTATION;COURSES;-24.500000;7a155e72-7c23-445c-8c44-a4ca88d5af62;5411
2025-11-11;CASH;CARD_TRANSACTION;CARRIS - RUA 1 MAIO,-00;ACHATS;DIVERS;-2.200000;800b6e92-e5d5-4036-8889-a9db6d9d03b7;4111
2025-11-11;CASH;CARD_TRANSACTION;VAL VIANDES;ALIMENTATION;BOUCHERIE;-25.890000;5e6fdd51-592b-42fd-bf51-c20d7410a3f1;763
2025-11-12;CASH;CARD_TRANSACTION;TOTAL           4380175;CHARGES_VARIABLES;CARBURANT;-27.320000;160a2ccc-20cd-40b1-afc2-e75d7b94edc5;5541
2025-11-13;CASH;CARD_TRANSACTION;E0022API EDS ONE;ALIMENTATION;RESTAURANTS;-8.120000;e4b25055-5912-4c46-a077-e5f74a9a5bd6;5814
2025-11-13;CASH;CARD_TRANSACTION;E0022API EDS ONE;ALIMENTATION;RESTAURANTS;-2.590000;f08fb11e-5b5e-4a44-a7d8-08b8cead1010;5814
2025-11-13;CASH;CARD_TRANSACTION;FERME DU SART;ALIMENTATION;COURSES;-18.830000;42e95e8f-b280-4274-afb7-adcf93530982;763
2025-11-13;CASH;CARD_TRANSACTION;MGP*Le Pot Commun;ACHATS;CADEAUX;-10.000000;a550ecb0-cf45-4f5a-bc1d-999e750de5fb;8398
2025-11-13;CASH;CARD_TRANSACTION;MGP*Le Pot Commun;ACHATS;CADEAUX;-20.000000;bda4ccad-ad7c-43da-ab54-aa6586ede545;8398
2025-11-14;CASH;CARD_TRANSACTION;E0022API EDS ONE;ALIMENTATION;RESTAURANTS;-7.210000;58add84c-ce03-446d-8815-241b09bc7326;5814
2025-11-14;CASH;CARD_TRANSACTION;NESPRESSO FRANCE S.A.S.;ACHATS;CAFE;-23.500000;409b605a-b6e1-491d-96b3-639fdaf0c0b9;5499
2025-11-14;CASH;CARD_TRANSACTION;NYX*LILLEAUTOMATIQUEDIST;ACHATS;CAFE;-0.300000;6d59cf51-b8a1-4ac3-952b-997e70a4e212;5499
